id,title,link,author,points,comments,posted_time
46617149,Government drops plans for mandatory digital ID to work in UK (bbc.com),vote?id=46617149&how=up&goto=news%3Fp%3D3,FridayoLeary,184 points,101 comments,1 day ago
46631726,Utah Full Steam Ahead on Nuclear Industry While Wyoming Avoids (cowboystatedaily.com),vote?id=46631726&how=up&goto=news%3Fp%3D4,Bender,8 points,discuss,4 hours ago
46632837,I spent a year on Linux and forgot to miss Windows (theverge.com),vote?id=46632837&how=up&goto=news%3Fp%3D4,speckx,43 points,53 comments,3 hours ago
46630955,Commodore 64 Ultimate review (2026) (theguardian.com),vote?id=46630955&how=up&goto=news%3Fp%3D4,limbicsystem,13 points,discuss,5 hours ago
46617492,Show HN: Xoscript (xoscript.com),vote?id=46617492&how=up&goto=news%3Fp%3D4,gabordemooij,53 points,43 comments,1 day ago
46614037,I’m leaving Redis for SolidQueue (simplethread.com),vote?id=46614037&how=up&goto=news%3Fp%3D4,amalinovic,307 points,137 comments,1 day ago
46624190,Ask HN: Distributed SQL engine for ultra-wide tables,vote?id=46624190&how=up&goto=news%3Fp%3D4,synsqlbythesea,17 points,14 comments,14 hours ago
46593022,Cowork: Claude Code for the rest of your work (claude.com),vote?id=46593022&how=up&goto=news%3Fp%3D4,adocomplete,1290 points,562 comments,2 days ago
46554982,"Putting the ""You"" in CPU (2023) (cpu.land)",vote?id=46554982&how=up&goto=news%3Fp%3D4,vinhnx,98 points,17 comments,1 day ago
46621786,Show HN: A fast CLI and MCP server for managing Lambda cloud GPU instances (github.com/strand-ai),vote?id=46621786&how=up&goto=news%3Fp%3D4,odedfalik,23 points,2 comments,21 hours ago
46616919,Show HN: Digital Carrot – Block social media with programmable rules and goals (digitalcarrot.app),vote?id=46616919&how=up&goto=news%3Fp%3D4,newswangerd,37 points,11 comments,21 hours ago
46611823,1000 Blank White Cards (wikipedia.org),vote?id=46611823&how=up&goto=news%3Fp%3D4,eieio,354 points,62 comments,1 day ago
46579387,Systematically generating tests that would have caught Anthropic's top‑K bug (theorem.dev),vote?id=46579387&how=up&goto=news%3Fp%3D4,jasongross,76 points,20 comments,1 day ago
46611550,Stop using natural language interfaces (leaflet.pub),vote?id=46611550&how=up&goto=news%3Fp%3D4,steveklabnik,124 points,65 comments,1 day ago
46574527,Media Player Classic Qute Theater (github.com/mpc-qt),vote?id=46574527&how=up&goto=news%3Fp%3D4,XzetaU8,14 points,2 comments,16 hours ago
46609630,A 40-line fix eliminated a 400x performance gap (questdb.com),vote?id=46609630&how=up&goto=news%3Fp%3D4,bluestreak,365 points,78 comments,1 day ago
46584864,The Emacs Widget Library: A Critique and Case Study (d12frosted.io),vote?id=46584864&how=up&goto=news%3Fp%3D4,whacked_new,107 points,35 comments,1 day ago
46602591,Every GitHub object has two IDs (greptile.com),vote?id=46602591&how=up&goto=news%3Fp%3D4,dakshgupta,322 points,74 comments,1 day ago
46605950,A university got itself banned from the Linux kernel (2021) (theverge.com),vote?id=46605950&how=up&goto=news%3Fp%3D4,italophil,142 points,70 comments,1 day ago
46618544,4k tons of potatoes to be given away for free in Berlin (the-berliner.com),vote?id=46618544&how=up&goto=news%3Fp%3D4,mrzool,143 points,134 comments,1 day ago
